#Source: http://rochester.nydatabases.com/sites/default/files/popular%20names_0.csv
#Name,Number
Haley,370
Jade,370
Onyx,368
Willow,368
Cinnamon,367
Jenny,367
Sarah,367
Dp,366
Rocco,366
Thor,363
Spencer,362
Piper,359
Sunny,359
Babe,358
Koda,358
Mya,358
Sara,354
Izzy,350
Mac,350
Pebbles,350
Tess,349
Apollo,347
Abigail,346
Candy,345
Josie,345
Ace,342
Chip,342
Grace,341
King,340
Mindy,340
Allie,339
Cheyenne,339
Mollie,338
Reggie,337
Benny,335
Casper,333
Brody,332
Buck,331
Ollie,331
Maxwell,329
Freckles,328
Fritz,328
Tippy,324
Lexie,323
Gabby,322
Nellie,318
Snowball,318
Brandi,316
Alex,315
Goldie,315
Susie,313
Layla,311
Elvis,307
Junior,305
Blackie,304
Clyde,302
Peaches,302
Bud,301
Ebony,301
Rosco,300
Harry,299
Tara,299
Tyler,299
Ozzy,297
Angus,296
Raven,296
Winnie,296
Brady,295
Reese,295
Ella,294
Ozzie,294
Chewy,290
Xena,290
Sable,288
Scrappy,288
Odie,286
Ranger,285
Ziggy,285
Sarge,283
Biscuit,282
Cricket,282
Eddie,281
Thunder,281
Cuddles,278
Jewel,276
Boo,275
Quincy,273
Storm,271
Callie,267
Sage,267
Blaze,265
Daisy Mae,265
Yogi,265
Jackie,264
Nina,264
Gypsy,263
Savannah,262
Scruffy,262
Sophia,261
Butch,260
Fluffy,260
Dudley,259
Kayla,259
Maximus,258
Zena,258
Dallas,257
Macy,257
Duffy,254
Taffy,254
Bosco,253
Maxine,253
Lizzie,251
Sabrina,251
Colby,250
Kasey,250
Spot,250
Gretchen,249
Comet,248
Suzie,248
Pearl,247
Tootsie,247
Cindy,244
Maverick,244
Sidney,244
Hank,241
Tigger,241
Mason,239
Miley,236
Kirby,235
Otto,235
Tiny,235
Maggie Mae,234
Taylor,234
Maddy,231
Sonny,231
Tessa,231
Andy,230
Kobe,230
Nikita,230
Abbie,228
Boots,228
Pete,228
Corky,227
Daisey,227
Gidget,227
Hercules,226
Jax,225
Clancy,224
Tinkerbell,223
Niko,222
Hope,218
Jada,218
Snuggles,218
Gigi,217
Skipper,217
Skippy,217
Zack,217
Kelsey,215
Happy,214
Mikey,214
Delilah,212
Noah,212
Greta,211
Guinness,211
Indy,211
Seamus,211
Sebastian,211
Monty,210
Red,210
Dutch,209
Eli,209
Spanky,208
Bernie,207
Mitzi,207
Olivia,207
Cole,206
Mack,206
Queenie,206
Tiger,205
Timber,205
Willy,205
Mojo,204
Sissy,204
Autumn,203
Remington,203
Rose,203
Yukon,202
Buttons,201
Tia,201
Woody,201
Dante,200
Pixie,199
Remy,199
Parker,198
Sabre,198
Sweetie,198
Trooper,198
Bridget,197
Brittany,197
Daphne,197
Brodie,196
Jazz,195
Reilly,195
Reba,194
Loki,193
Merlin,193
Dylan,192
Lacy,192
Moe,192
Koko,191
Skye,191
Teddy Bear,191
Hanna,190
Shilo,190
Austin,189
Pumpkin,189
Hazel,188
Mattie,188
